city_name,district_name,commune_name
Kampong Cham,Kang Meas,Sdau
Preah Vihear,Sangkum Thmei,Sdau
Stung Treng,Sesan,Sdau
Prey Veng,Ba Phnum,Sdau Kaong
Kampong Speu,Kong Pisei,Sdok
Battambang,Rukh Kiri,Sdok Pravoek
Prey Veng,Kamchay Mear,Seang Khveang
Ratanak Kiri,Lumphat,Seda
Tboung Khmum,Dambae,Seda
Kampong Chhnang,Sameakki Mean Chey,Sedthei
Stung Treng,Siem Pang,Sekong
Prey Veng,Preah Sdach,Sena Reach Otdam
Battambang,Sampov Lun,Serei Mean Chey
Ratanak Kiri,Koun Mom,Serei Mongkol
Ratanak Kiri,Ou Ya Dav,Sesan
Kandal,S'ang,Setbou
Stung Treng,Siem Bouk,Siem Bouk
Kandal,Kandal Stueng,Siem Reab
Siemreap,Siem Reap,Siem Reab
Kandal,Khsach Kandal,Sithor
Kampong Speu,Samraong Tong,Skuh
Takeo,Samraong,Sla
Battambang,Battambang,Sla Ket
Banteay Meanchey,Svay Chek,Sla Kram
Siemreap,Siem Reap,Sla Kram
Siemreap,Srei Snam,Slaeng Spean
Koh Kong,Khemara Phoumin,Smach Mean Chey
Takeo,Treang,Smaong
Prey Veng,Kamchay Mear,Smaong Khang Cheung
Prey Veng,Kamchay Mear,Smaong Khang Tboung
Pursat,Krakor,Sna Ansa
Kampong Speu,Kong Pisei,Snam Krapeu
Pursat,Bakan,Snam Preah
Takeo,Prey Kabbas,Snao
Phnom Penh,Pur SenChey,Snaor
Kampot,Chum Kiri,Snay Anhchit
Siemreap,Siem Reap,Sngkat Sambuor
Battambang,Banan,Snoeng
Kratie,Snuol,Snuol
Siemreap,Kralanh,Snuol
Kampong Thom,Sandan,Sochet
Banteay Meanchey,Mongkol Borei,Soea
Banteay Meanchey,Ou Chrov,Soengh
Takeo,Samraong,Soengh
Mondul Kiri,Saen Monourom,Sokh Dom
Mondul Kiri,Kaoh Nheaek,Sokh Sant
Kampong Speu,Chbar Mon,Sopoar Tep
Kampong Thom,Baray,Sou Young
Kampong Cham,Stueng Trang,Soupheas
Banteay Meanchey,Ou Chrov,Souphi
Kampong Cham,Kang Meas,Sour Kong
Takeo,Bati,Sour Phi
Kampong Cham,Prey Chhor,Sour Saen
Kampong Cham,Cheung Prey,Soutib
Mondul Kiri,Saen Monourom,Spean Mean Chey
Banteay Meanchey,Phnum Srok,Spean Sraeng
Phnom Penh,Dangkao,Spean Thma
Siemreap,Chi Kraeng,Spean Tnaot
Kampong Cham,Chamkar Leu,Spueu
Prey Veng,Ba Phnum,Spueu Ka
Prey Veng,Ba Phnum,Spueu Kha
Koh Kong,Srae Ambel,Srae Ambel
Mondul Kiri,Pech Chreada,Srae Ampum
Ratanak Kiri,Koun Mom,Srae Angkrorng
Kampot,Chum Kiri,Srae Chaeng
Kratie,Snuol,Srae Char
Kampot,Dang Tong,Srae Chea Khang Cheung
Kampot,Dang Tong,Srae Chea Khang Tboung
Mondul Kiri,Kaev Seima,Srae Chhuk
Kratie,Sambour,Srae Chis
Mondul Kiri,Kaoh Nheaek,Srae Huy
Mondul Kiri,Kaev Seima,Srae Khtum
Siemreap,Angkor Chum,Srae Khvav
Kampot,Chum Kiri,Srae Knong
Stung Treng,Sesan,Srae Kor
Stung Treng,Siem Bouk,Srae Krasang
Siemreap,Varin,Srae Nouy
Mondul Kiri,Kaev Seima,Srae Preah
Takeo,Tram Kak,Srae Ronoung
Stung Treng,Thala Barivat,Srae Ruessei
Stung Treng,Siem Pang,Srae Sambour
Kampot,Chum Kiri,Srae Samraong
Mondul Kiri,Kaoh Nheaek,Srae Sangkum
Pursat,Kandieng,Srae Sdok
Kampong Chhnang,Rolea B'ier,Srae Thmei
Kampong Thom,Prasat Sambour,Sraeung
Kampong Cham,Prey Chhor,Sragnae
Phnom Penh,Doun Penh,Srah Chak
Banteay Meanchey,Phnum Srok,Srah Chik
Banteay Meanchey,Mongkol Borei,Srah Reang
Stung Treng,Stueng Traeng,Srah Ruessei
Kampong Cham,Kampong Siem,Srak
Tboung Khmum,Tboung Khmum,Sralab
Kampong Thom,Baray,Sralau
Kampong Cham,Cheung Prey,Sramar
Siemreap,Kralanh,Sranal
Kampong Speu,Kong Pisei,Srang
Siemreap,Siem Reap,Srangae
Takeo,Treang,Srangae
Preah Vihear,Kuleaen,Srayang
Kampong Thom,Stueng Saen,Srayov
Preah Vihear,Choam Ksant,Sror Aem
Preah Sihanouk,Kampong Seila,Stueng Chhay
Pailin,Sala Krau,Stueng Kach
Kampot,Tuek Chhou,Stueng Kaev
Phnom Penh,Mean Chey,Stueng Mean Chey
Stung Treng,Stueng Traeng,Stueng Traeng
Pailin,Sala Krau,Stueng Trang
Koh Kong,Khemara Phoumin,Stueng Veaeng
Battambang,Samlout,Sung
Tboung Khmum,Suong,Suong
Kampong Chhnang,Sameakki Mean Chey,Svay
Kandal,Mukh Kampul,Svay Ampear
Svay Rieng,Svay Chrum,Svay Angk
Prey Veng,Svay Antor,Svay Antor
Pursat,Pursat,Svay At
Kampong Speu,Basedth,Svay Chacheb
Banteay Meanchey,Svay Chek,Svay Chek
Siemreap,Angkor Thum,Svay Chek
Svay Rieng,Rumduol,Svay Chek
Kratie,Snuol,Svay Chreah
Kampong Chhnang,Rolea B'ier,Svay Chrum
Kandal,Khsach Kandal,Svay Chrum
Prey Veng,Me Sang,Svay Chrum
Svay Rieng,Svay Chrum,Svay Chrum
Kampong Chhnang,Sameakki Mean Chey,Svay Chuk
Siemreap,Siem Reap,Svay Dankum
Pursat,Bakan,Svay Doun Kaev
Tboung Khmum,Krouch Chhmar,Svay Khleang
Kampong Cham,Srei Santhor,Svay Khsach Phnum
Kampong Speu,Chbar Mon,Svay Kravan
Siemreap,Svay Leu,Svay Leu
Pursat,Kandieng,Svay Luong
Phnom Penh,Russey Keo,Svay Pak
Kampong Thom,Baray,Svay Phleung
Prey Veng,Peam Chor,Svay Phluoh
Battambang,Battambang,Svay Por
Kampong Cham,Srei Santhor,Svay Pou
Kandal,S'ang,Svay Prateal
Svay Rieng,Svay Rieng,Svay Rieng
Kandal,S'ang,Svay Rolum
Kandal,Khsach Kandal,Svay Romiet
Kampong Chhnang,Kampong Leaeng,Svay Rumpear
Kampong Speu,Basedth,Svay Rumpear
Svay Rieng,Svay Teab,Svay Rumpear
Pursat,Krakor,Svay Sa
Siemreap,Varin,Svay Sa
Svay Rieng,Kampong Rou,Svay Ta Yean
Kampong Cham,Chamkar Leu,Svay Teab
Svay Rieng,Svay Chrum,Svay Thum
Svay Rieng,Svay Rieng,Svay Toea
Kampot,Kampong Trach,Svay Tong Khang Cheung
Kampot,Kampong Trach,Svay Tong Khang Tboung
Svay Rieng,Svay Chrum,Svay Yea
Pursat,Kandieng,Sya
Kandal,Khsach Kandal,Ta Aek
Siemreap,Kralanh,Ta An
Ratanak Kiri,Koun Mom,Ta Ang
Banteay Meanchey,Svay Chek,Ta Baen
Kampong Chhnang,Kampong Tralach,Ta Ches
Prey Veng,Pur Rieng,Ta Kao
Kandal,Ta Khmau,Ta Kdol
Kandal,Ta Khmau,Ta Khmao
Banteay Meanchey,Malai,Ta Kong
Battambang,Banan,Ta Kream
Battambang,Kamrieng,Ta Krei
Banteay Meanchey,Mongkol Borei,Ta Lam
Stung Treng,Sesan,Ta Lat
Ratanak Kiri,Andoung Meas,Ta Lav
Battambang,Moung Ruessei,Ta Loas
Kandal,S'ang,Ta Lon
Pursat,Bakan,Ta Lou
Kratie,Prek Prasab,Ta Mao
Battambang,Thma Koul,Ta Meun
Koh Kong,Botum Sakor,Ta Noun
Kampong Cham,Chamkar Leu,Ta Ong
Takeo,Kiri Vong,Ta Ou
Takeo,Tram Kak,Ta Phem
Banteay Meanchey,Svay Chek,Ta Phou
Battambang,Sangkae,Ta Pon
Kampong Cham,Chamkar Leu,Ta Prok
Battambang,Thma Koul,Ta Pung
Battambang,Kamrieng,Ta Saen
Kampong Speu,Aoral,Ta Sal
Battambang,Samlout,Ta Sanh
Siemreap,Angkor Chum,Ta Saom
Battambang,Sampov Lun,Ta Sda
Siemreap,Svay Leu,Ta Siem
Svay Rieng,Svay Chrum,Ta Suos
Koh Kong,Kaoh Kong,Ta Tai Kraom
Battambang,Samlout,Ta Taok
Koh Kong,Thma Bang,Ta Tey Leu
Ratanak Kiri,Ta Veaeng,Ta Veaeng Kraom
Ratanak Kiri,Ta Veaeng,Ta Veaeng Leu
Siemreap,Soutr Nikom,Ta Yaek
Kampot,Chhuk,Takaen
Takeo,Bati,Tang Doung
Kampong Cham,Batheay,Tang Krang
Kampong Cham,Batheay,Tang Krasang
Kampong Chhnang,Tuek Phos,Tang Krasang
Kampong Thom,Santuk,Tang Krasang
Kampong Thom,Prasat Sambour,Tang Krasau
Kampong Speu,Samraong Tong,Tang Krouch
Kampong Speu,Phnum Sruoch,Tang Samraong
Kampong Speu,Phnum Sruoch,Tang Sya
Takeo,Prey Kabbas,Tang Yab
Kampot,Angkor Chey,Tani
Preah Vihear,Chey Saen,Tasu
Kampong Thom,Kampong Svay,Tbaeng
Kandal,Kandal Stueng,Tbaeng
Siemreap,Banteay Srei,Tbaeng
Kampong Chhnang,Sameakki Mean Chey,Tbaeng Khpos
Kampong Thom,Santuk,Tboung Krapeu
Banteay Meanchey,Preah Netr Preah,Tean Kam
Ratanak Kiri,Koun Mom,Teun
Stung Treng,Thala Barivat,Thala Barivat
Prey Veng,Ba Phnum,Theay
Battambang,Koas Krala,Thipakdei
Prey Veng,Kampong Trabaek,Thkov
Oddar Meanchey,Anlong Veaeng,Thlat
Takeo,Kaoh Andaet,Thlea Prachum
Svay Rieng,Svay Chrum,Thlok
Takeo,Treang,Thlok
Kampong Chhnang,Sameakki Mean Chey,Thlok Vien
Kratie,Chetr Borei,Thma Andaeuk
Pursat,Veal Veaeng,Thma Da
Koh Kong,Thma Bang,Thma Doun Pov
Kampong Chhnang,Kampong Tralach,Thma Edth
Kandal,Lvea Aem,Thma Kor
Kratie,Chetr Borei,Thma Kreae
Tboung Khmum,Tboung Khmum,Thma Pech
Kampong Cham,Prey Chhor,Thma Pun
Prey Veng,Kanhchriech,Thma Pun
Banteay Meanchey,Thma Puok,Thma Puok
Koh Kong,Botum Sakor,Thma Sa
Preah Vihear,Chey Saen,Thmea
Svay Rieng,Rumduol,Thmea
Kampot,Tuek Chhou,Thmei
Kandal,Kandal Stueng,Thmei
Kratie,Chetr Borei,Thmei
Preah Vihear,Kuleaen,Thmei
Svay Rieng,Kampong Rou,Thmei
Svay Rieng,Rumduol,Thna Thnong
Kampong Speu,Samraong Tong,Thummoda Ar
Kampong Thom,Santuk,Ti Pou
Phnom Penh,Dangkao,Tien
Ratanak Kiri,Bar Kaev,Ting Chak
Stung Treng,Siem Pang,Tma Kaev
Prey Veng,Kanhchriech,Tnaot
Svay Rieng,Kampong Rou,Tnaot
Takeo,Bati,Tnaot
Kampong Thom,Baray,Tnaot Chum
Pursat,Krakor,Tnaot Chum
Kampot,Banteay Meas,Tnoat Chong Srang
Kampong Speu,Thpong,Toap Mean
Kampong Cham,Prey Chhor,Tong Rong
Kampong Cham,Srei Santhor,Tong Tralach
Phnom Penh,Chamkar Mon,Tonle Basak
Tboung Khmum,Tboung Khmum,Tonle Bet
Tboung Khmum,Memot,Tonlung
Kampot,Dang Tong,Totung
Kampong Cham,Batheay,Trab
Prey Veng,Kamchay Mear,Trabaek
Kampong Speu,Odongk,Trach Tong
Battambang,Rotonak Mondol,Traeng
Kampong Speu,Phnum Sruoch,Traeng Trayueng
Kampot,Kampot,Traeuy Kaoh
Kandal,S'ang,Traeuy Sla
Takeo,Treang,Tralach
Takeo,Tram Kak,Tram Kak
Siemreap,Srei Snam,Tram Sasar
Kampot,Chhuk,Tramaeng
Tboung Khmum,Memot,Tramung
Battambang,Kamrieng,Trang
Kampong Chhnang,Kampong Leaeng,Trangel
Kampot,Chhuk,Trapeang Bei
Kampong Chhnang,Baribour,Trapeang Chan
Pursat,Bakan,Trapeang Chorng
Kampong Speu,Aoral,Trapeang Chour
Ratanak Kiri,Koun Mom,Trapeang Chres
Kampong Speu,Samraong Tong,Trapeang Kong
Kampong Cham,Cheung Prey,Trapeang Kor
Ratanak Kiri,Koun Mom,Trapeang Kraham
Takeo,Tram Kak,Trapeang Kranhoung
Phnom Penh,Pur SenChey,Trapeang Krasang
Takeo,Bati,Trapeang Krasang
Kampot,Chhuk,Trapeang Phleang
Tboung Khmum,Ponhea Kraek,Trapeang Phlong
Oddar Meanchey,Trapeang Prasat,Trapeang Prasat
Kampong Cham,Prey Chhor,Trapeang Preah
Oddar Meanchey,Anlong Veaeng,Trapeang Prei
Kampot,Tuek Chhou,Trapeang Pring
Tboung Khmum,Dambae,Trapeang Pring
Kampot,Chum Kiri,Trapeang Reang
Kampong Thom,Kampong Svay,Trapeang Ruessei
Koh Kong,Kaoh Kong,Trapeang Rung
Takeo,Bati,Trapeang Sab
Kampot,Banteay Meas,Trapeang Sala Khang Kaeut
Kampot,Banteay Meas,Trapeang Sala Khang Lech
Kampot,Tuek Chhou,Trapeang Sangkae
Svay Rieng,Romeas Haek,Trapeang Sdau
Prey Veng,Me Sang,Trapeang Srae
Oddar Meanchey,Anlong Veaeng,Trapeang Tav
Kampot,Tuek Chhou,Trapeang Thum
Siemreap,Prasat Bakong,Trapeang Thum
Takeo,Tram Kak,Trapeang Thum Khang Cheung
Takeo,Tram Kak,Trapeang Thum Khang Tboung
Kandal,Kandal Stueng,Trapeang Veaeng
Svay Rieng,Romeas Haek,Tras
Kampong Thom,Stoung,Trea
Kandal,Kandal Stueng,Trea
Takeo,Samraong,Trea
Tboung Khmum,Krouch Chhmar,Trea
Kampong Cham,Kampong Siem,Trean
Banteay Meanchey,Svay Chek,Treas
Siemreap,Puok,Trei Nhoar
Tboung Khmum,Memot,Triek
Kampong Thom,Baray,Triel
Banteay Meanchey,Preah Netr Preah,Tuek Chour
Tboung Khmum,Dambae,Tuek Chrov
Kampong Chhnang,Rolea B'ier,Tuek Hout
Kandal,Lvea Aem,Tuek Khleang
Preah Vihear,Choam Ksant,Tuek Kraham
Kampong Speu,Kong Pisei,Tuek L'ak
Preah Sihanouk,Prey Nob,Tuek L'ak
Phnom Penh,Tuol Kouk,Tuek L'ak Ti Bei
Phnom Penh,Tuol Kouk,Tuek L'ak Ti Muoy
Phnom Penh,Tuol Kouk,Tuek L'ak Ti Pir
Banteay Meanchey,Serei Saophoan,Tuek Thla
Phnom Penh,Saensokh,Tuek Thla
Prey Veng,Svay Antor,Tuek Thla
Preah Sihanouk,Prey Nob,Tuek Thla
Kandal,S'ang,Tuek Vil
Siemreap,Siem Reap,Tuek Vil
Kampot,Banteay Meas,Tuk Meas Khang Kaeut
Kampot,Banteay Meas,Tuk Meas Khang Lech
Kampong Thom,Sandan,Tum Ring
Kampong Cham,Batheay,Tumnob
Oddar Meanchey,Trapeang Prasat,Tumnob Dach
Preah Sihanouk,Stueng Hav,Tumnob Rolok
Kandal,Ponhea Lueu,Tumnob Thum
Phnom Penh,Chamkar Mon,Tumnob Tuek
Kampong Speu,Samraong Tong,Tumpoar Meas
Kampong Speu,Basedth,Tuol Ampil
Kampong Chhnang,Tuek Phos,Tuol Khpos
Koh Kong,Mondol Seima,Tuol Kokir
Kampong Thom,Prasat Ballangk,Tuol Kreul
Pailin,Pailin,Tuol Lvea
Banteay Meanchey,Malai,Tuol Pongro
Kampong Cham,Stueng Trang,Tuol Preah Khleang
Kandal,Angk Snuol,Tuol Prech
Kampong Speu,Basedth,Tuol Sala
Kampong Cham,Stueng Trang,Tuol Sambuor
Phnom Penh,Russey Keo,Tuol Sangke
Svay Rieng,Chantrea,Tuol Sdei
Tboung Khmum,Krouch Chhmar,Tuol Snuol
Tboung Khmum,Ou Reang Ov,Tuol Souphi
Phnom Penh,Chamkar Mon,Tuol Svay Prey Ti Muoy
Phnom Penh,Chamkar Mon,Tuol Svay Prey Ti Pir
Battambang,Battambang,Tuol Ta Ek
Preah Sihanouk,Prey Nob,Tuol Totueng
Phnom Penh,Chamkar Mon,Tuol Tumpung Ti Muoy
Phnom Penh,Chamkar Mon,Tuol Tumpung Ti Pir
Battambang,Sangkae,Vaot Ta Muem
Siemreap,Varin,Varin
Kampong Speu,Kong Pisei,Veal
Pursat,Kandieng,Veal
Tboung Khmum,Ponhea Kraek,Veal Mlu
Kampong Speu,Thpong,Veal Pon
Kampong Speu,Odongk,Veal Pong
Preah Sihanouk,Prey Nob,Veal Renh
Phnom Penh,Chbar Ampov,Veal Sbov
Kampong Cham,Kampong Cham,Veal Vong
Phnom Penh,Prampir Meakkakra,Veal Vong
Kampong Speu,Odongk,Veang Chas
Ratanak Kiri,Veun Sai,Veun Sai
Kandal,Ponhea Lueu,Vihear Luong
Tboung Khmum,Suong,Vihear Luong
Kandal,Khsach Kandal,Vihear Suork
Kampong Cham,Kampong Siem,Vihear Thum
Kampong Speu,Samraong Tong,Voa Sar
Kratie,Sambour,Voadthonak
Kampot,Banteay Meas,Voat Angk Khang Cheung
Kampot,Banteay Meas,Voat Angk Khang Tboung
Phnom Penh,Doun Penh,Voat Phnum
Battambang,Battambang,Wat Kor
Ratanak Kiri,Ou Ya Dav,Ya Tung
Kampong Speu,Thpong,Yea Angk
Ratanak Kiri,Ban Lung,Yeak Laom
Preah Vihear,Choam Ksant,Yeang
Siemreap,Puok,Yeang
Kampong Speu,Odongk,Yutth Sameakki
Phnom Penh,Saensokh,Ou Baek K'am
