city_name,district_name,commune_name
Svay Rieng,Svay Chrum,Doun Sa
Kampot,Chhuk,Doun Yay
Kampong Thom,Prasat Ballangk,Doung
Svay Rieng,Romeas Haek,Doung
Takeo,Bati,Doung
Takeo,Borei Cholsar,Doung Khpos
Tboung Khmum,Ponhea Kraek,Dountei
Battambang,Koas Krala,Hab
Kratie,Chhloung,Han Chey
Kampong Cham,Kampong Siem,Hanchey
Kampong Speu,Aoral,Haong Samnam
Ratanak Kiri,Veun Sai,Hat Pak
Kandal,Leuk Daek,K'am Samnar
Ratanak Kiri,Veun Sai,Ka Choun
Ratanak Kiri,Lumphat,Ka Laeng
Ratanak Kiri,Ban Lung,Kachanh
Kep,Kaeb,Kaeb
Preah Sihanouk,Stueng Hav,Kaev Phos
Siemreap,Puok,Kaev Poar
Kampong Speu,Samraong Tong,Kahaeng
Kampong Speu,Basedth,Kak
Ratanak Kiri,Bar Kaev,Kak
Tboung Khmum,Ponhea Kraek,Kak
Phnom Penh,Pur SenChey,Kakab
Battambang,Moung Ruessei,Kakaoh
Kampong Thom,Santuk,Kakaoh
Ratanak Kiri,Ou Chum,Kalai
Phnom Penh,Pur SenChey,Kamboul
Takeo,Kiri Vong,Kamnab
Takeo,Kiri Vong,Kampeaeng
Takeo,Prey Kabbas,Kampeaeng
Preah Sihanouk,Stueng Hav,Kampenh
Stung Treng,Sesan,Kamphun
Tboung Khmum,Memot,Kampoan
Svay Rieng,Rumduol,Kampong Ampil
Kampot,Kampot,Kampong Bay
Svay Rieng,Rumduol,Kampong Chak
Kampong Cham,Kampong Cham,Kampong Cham
Kratie,Sambour,Kampong Cham
Kandal,Khsach Kandal,Kampong Chamlang
Svay Rieng,Svay Chrum,Kampong Chamlang
Kampong Thom,Stoung,Kampong Chen Cheung
Kampong Thom,Stoung,Kampong Chen Tboung
Kampong Chhnang,Kampong Chhnang,Kampong Chhnang
Kratie,Chhloung,Kampong Damrei
Kampong Chhnang,Kampong Leaeng,Kampong Hau
Kampot,Kampot,Kampong Kandal
Siemreap,Chi Kraeng,Kampong Kdei
Siemreap,Soutr Nikom,Kampong Khleang
Kandal,Kaoh Thum,Kampong Kong
Kratie,Prek Prasab,Kampong Kor
Kampong Thom,Kampong Svay,Kampong Kou
Kampong Thom,Stueng Saen,Kampong Krabau
Kampot,Tuek Chhou,Kampong Kraeng
Takeo,Borei Cholsar,Kampong Krasang
Prey Veng,Prey Veng,Kampong Leav
Battambang,Samlout,Kampong Lpov
Kandal,Ponhea Lueu,Kampong Luong
Pursat,Krakor,Kampong Luong
Kandal,Ponhea Lueu,Kampong Os
Kampong Chhnang,Chol Kiri,Kampong Ous
Siemreap,Prasat Bakong,Kampong Phluk
Kandal,Leuk Daek,Kampong Phnum
Prey Veng,Pea Reang,Kampong Popil
Pursat,Krakor,Kampong Pou
Preah Vihear,Preah Vihear,Kampong Pranak
Prey Veng,Pea Reang,Kampong Prang
Prey Veng,Peam Chor,Kampong Prasat
Battambang,Sangkae,Kampong Preah
Kampong Chhnang,Baribour,Kampong Preah Kokir
Battambang,Sangkae,Kampong Prieng
Kampong Cham,Kaoh Soutin,Kampong Reab
Takeo,Prey Kabbas,Kampong Reab
Kampong Thom,Stueng Saen,Kampong Roteh
Prey Veng,Pur Rieng,Kampong Ruessei
Kandal,Ta Khmau,Kampong Samnanh
Kampot,Tuek Chhou,Kampong Samraong
Preah Sihanouk,Kampong Seila,Kampong Seila
Prey Veng,Preah Sdach,Kampong Soeng
Preah Vihear,Chhaeb,Kampong Sralau Muoy
Preah Vihear,Chhaeb,Kampong Sralau Pir
Banteay Meanchey,Serei Saophoan,Kampong Svay
Kampong Thom,Kampong Svay,Kampong Svay
Kandal,Kien Svay,Kampong Svay
Siemreap,Kralanh,Kampong Thkov
Kampong Thom,Santuk,Kampong Thma
Kampong Thom,Stueng Saen,Kampong Thum
Prey Veng,Kampong Trabaek,Kampong Trabaek
Svay Rieng,Romeas Haek,Kampong Trach
Kampot,Kampong Trach,Kampong Trach Khang Kaeut
Kampot,Kampong Trach,Kampong Trach Khang Lech
Kampong Chhnang,Kampong Tralach,Kampong Tralach
Tboung Khmum,Krouch Chhmar,Kampong Treas
Battambang,Kamrieng,Kamrieng
Siemreap,Prasat Bakong,Kandaek
Kandal,Kandal Stueng,Kandaok
Kampot,Tuek Chhou,Kandaol
Koh Kong,Botum Sakor,Kandaol
Tboung Khmum,Ponhea Kraek,Kandaol Chrum
Kampong Speu,Chbar Mon,Kandaol Dom
Pursat,Kandieng,Kandieng
Svay Rieng,Svay Teab,Kandieng Reay
Takeo,Bati,Kandoeng
Stung Treng,Thala Barivat,Kang Cham
Kampong Cham,Kang Meas,Kang Ta Noeng
Prey Veng,Pea Reang,Kanhcham
Kratie,Chhloung,Kanhchor
Pursat,Kandieng,Kanhchor
Prey Veng,Kanhchriech,Kanhchriech
Prey Veng,Kampong Trabaek,Kansoam Ak
Phnom Penh,Pur SenChey,Kantaok
Siemreap,Prasat Bakong,Kantreang
Battambang,Banan,Kantueu Muoy
Battambang,Banan,Kantueu Pir
Kratie,Chetr Borei,Kantuot
Preah Vihear,Choam Ksant,Kantuot
Siemreap,Svay Leu,Kantuot
Kampong Cham,Srei Santhor,Kaoh Andaet
Kandal,S'ang,Kaoh Anlong Chen
Prey Veng,Peam Chor,Kaoh Chek
Kandal,Ponhea Lueu,Kaoh Chen
Battambang,Aek Phnum,Kaoh Chiveang
Kandal,Khsach Kandal,Kaoh Chouram
Kratie,Chetr Borei,Kaoh Chraeng
Pursat,Kandieng,Kaoh Chum
Phnom Penh,Chraoy Chongvar,Kaoh Dach
Kandal,Lvea Aem,Kaoh Kaev
Koh Kong,Kaoh Kong,Kaoh Kapi
Kandal,S'ang,Kaoh Khael
Kratie,Sambour,Kaoh Khnhaer
Kandal,S'ang,Kaoh Khsach Tonlea
Kampong Cham,Kampong Siem,Kaoh Mitt
Kandal,Khsach Kandal,Kaoh Oknha Tei
Ratanak Kiri,Veun Sai,Kaoh Pang
Ratanak Kiri,Veun Sai,Kaoh Peak
Tboung Khmum,Krouch Chhmar,Kaoh Pir
Banteay Meanchey,Serei Saophoan,Kaoh Pong Satv
Stung Treng,Siem Bouk,Kaoh Preah
Kandal,Lvea Aem,Kaoh Reah
Kampong Cham,Kampong Siem,Kaoh Roka
Prey Veng,Peam Chor,Kaoh Roka
Preah Sihanouk,Preah Sihanouk,Kaoh Rung
Stung Treng,Siem Bouk,Kaoh Sampeay
Prey Veng,Peam Chor,Kaoh Sampov
Kampong Cham,Kampong Siem,Kaoh Samraong
Koh Kong,Kiri Sakor,Kaoh Sdach
Stung Treng,Thala Barivat,Kaoh Snaeng
Kampong Cham,Kaoh Soutin,Kaoh Sotin
Stung Treng,Siem Bouk,Kaoh Sralay
Kampong Chhnang,Chol Kiri,Kaoh Thkov
Kandal,Kaoh Thum,Kaoh Thum Ka
Kandal,Kaoh Thum,Kaoh Thum Kha
Kampong Cham,Kampong Siem,Kaoh Tontuem
